model,round,conf_matrix,tn,fp,fn,tp,total_classifications,total_lost_classifications,accuracy,recall,precision,f1,total_truth_class_low_priority_edits,total_truth_class_high_priority_edits,total_predicted_class_low_priority_edits,total_predicted_class_high_priority_edits,total_cts,total_new,total_obsolete,total_reusable,total_low_impacted,total_high_impacted,total_mixed_impacted,perc_saved_cts
gemini-1.5-flash,0,"[[ 3 14]
 [24 58]]",3,14,24,58,99,0,0.616,0.707,0.806,0.753,82,17,72,28,322,32,220,70,155,0,64,0.705
gemini-1.5-flash,1,"[[ 3 14]
 [25 57]]",3,14,25,57,99,0,0.606,0.695,0.803,0.745,82,17,71,29,322,32,220,70,155,0,64,0.705
gemini-1.5-flash,2,"[[ 3 14]
 [25 57]]",3,14,25,57,99,0,0.606,0.695,0.803,0.745,82,17,71,29,322,32,220,70,149,0,70,0.677
gemma2,0,"[[ 3 14]
 [32 50]]",3,14,32,50,99,0,0.535,0.61,0.781,0.685,82,17,64,36,322,32,220,70,124,0,94,0.564
gemma2,1,"[[ 3 14]
 [32 50]]",3,14,32,50,99,0,0.535,0.61,0.781,0.685,82,17,64,36,322,32,220,70,124,0,94,0.564
gemma2,2,"[[ 4 13]
 [32 49]]",4,13,32,49,98,1,0.541,0.605,0.79,0.685,82,17,62,36,320,32,218,70,120,0,96,0.55
gpt-4o-mini,0,"[[ 3 14]
 [30 52]]",3,14,30,52,99,0,0.556,0.634,0.788,0.703,82,17,66,34,322,32,220,70,131,0,88,0.595
gpt-4o-mini,1,"[[ 3 14]
 [33 49]]",3,14,33,49,99,0,0.525,0.598,0.778,0.676,82,17,63,37,322,32,220,70,130,0,89,0.591
gpt-4o-mini,2,"[[ 3 14]
 [33 49]]",3,14,33,49,99,0,0.525,0.598,0.778,0.676,82,17,63,37,322,32,220,70,130,0,89,0.591
gpt-4o,0,"[[ 3 14]
 [33 49]]",3,14,33,49,99,0,0.525,0.598,0.778,0.676,82,17,63,37,322,32,220,70,129,0,90,0.586
gpt-4o,1,"[[ 3 14]
 [33 49]]",3,14,33,49,99,0,0.525,0.598,0.778,0.676,82,17,63,37,322,32,220,70,126,0,93,0.573
gpt-4o,2,"[[ 3 14]
 [33 49]]",3,14,33,49,99,0,0.525,0.598,0.778,0.676,82,17,63,37,322,32,220,70,126,0,93,0.573
llama3.1,0,"[[ 2 13]
 [24 56]]",2,13,24,56,95,4,0.611,0.7,0.812,0.752,82,17,69,26,305,23,214,68,102,0,110,0.477
llama3.1,1,"[[ 3 11]
 [24 47]]",3,11,24,47,85,14,0.588,0.662,0.81,0.729,82,17,58,27,279,19,204,56,116,0,86,0.569
llama3.1,2,"[[ 3 11]
 [30 48]]",3,11,30,48,92,7,0.554,0.615,0.814,0.701,82,17,59,33,281,19,207,55,81,0,124,0.391
mistral,0,"[[ 4 13]
 [24 58]]",4,13,24,58,99,0,0.626,0.707,0.817,0.758,82,17,71,29,322,32,220,70,153,0,66,0.695
mistral,1,"[[ 4 13]
 [27 55]]",4,13,27,55,99,0,0.596,0.671,0.809,0.733,82,17,68,32,322,32,220,70,146,0,73,0.664
mistral,2,"[[ 4 13]
 [23 59]]",4,13,23,59,99,0,0.636,0.72,0.819,0.766,82,17,72,28,322,32,220,70,147,0,71,0.668
mixtral,0,"[[ 0 17]
 [ 8 74]]",0,17,8,74,99,0,0.747,0.902,0.813,0.855,82,17,92,8,322,32,220,70,199,0,20,0.905
mixtral,1,"[[ 0 17]
 [ 9 73]]",0,17,9,73,99,0,0.737,0.89,0.811,0.849,82,17,91,9,322,32,220,70,166,0,53,0.755
mixtral,2,"[[ 0 17]
 [ 8 74]]",0,17,8,74,99,0,0.747,0.902,0.813,0.855,82,17,92,8,322,32,220,70,167,0,52,0.759
openchat,0,"[[ 0 16]
 [10 71]]",0,16,10,71,97,2,0.732,0.877,0.816,0.845,82,17,87,10,309,29,218,62,160,0,56,0.734
openchat,1,"[[ 0 17]
 [ 5 77]]",0,17,5,77,99,0,0.778,0.939,0.819,0.875,82,17,94,5,322,32,220,70,194,0,24,0.882
openchat,2,"[[ 0 17]
 [ 7 75]]",0,17,7,75,99,0,0.758,0.915,0.815,0.862,82,17,92,8,322,32,220,70,171,0,47,0.777
phi3,0,"[[ 5 11]
 [38 43]]",5,11,38,43,97,2,0.495,0.531,0.796,0.637,82,17,54,41,309,29,218,62,93,0,123,0.427
phi3,1,"[[ 7  9]
 [34 47]]",7,9,34,47,97,2,0.557,0.58,0.839,0.686,82,17,56,40,309,29,218,62,92,0,124,0.422
phi3,2,"[[ 6 10]
 [38 43]]",6,10,38,43,97,2,0.505,0.531,0.811,0.642,82,17,53,43,309,29,218,62,94,0,122,0.431
qwen2,0,"[[ 4 13]
 [15 67]]",4,13,15,67,99,0,0.717,0.817,0.838,0.827,82,17,80,19,322,32,220,70,151,0,67,0.686
qwen2,1,"[[ 3 14]
 [18 64]]",3,14,18,64,99,0,0.677,0.78,0.821,0.8,82,17,78,22,322,32,220,70,150,0,69,0.682
qwen2,2,"[[ 4 13]
 [17 64]]",4,13,17,64,98,1,0.694,0.79,0.831,0.81,82,17,77,21,320,32,218,70,157,0,60,0.72
