model,round,total_low_impacted,total_high_impacted,total_mixed_impacted,perc_saved_cts
mixtral,0,199,0,20,90%
openchat,1,194,0,24,88%
openchat,2,171,0,47,78%
mixtral,2,167,0,52,76%
mixtral,1,166,0,53,76%
gemini-1.5-flash,1,155,0,64,70%
gemini-1.5-flash,0,155,0,64,70%
mistral,0,153,0,66,70%
qwen2,0,151,0,67,69%
qwen2,1,150,0,69,68%
gemini-1.5-flash,2,149,0,70,68%
mistral,2,147,0,71,67%
mistral,1,146,0,73,66%
gpt-4o-mini,0,131,0,88,60%
gpt-4o-mini,2,130,0,89,59%
gpt-4o-mini,1,130,0,89,59%
gpt-4o,0,129,0,90,59%
gpt-4o,2,126,0,93,57%
gpt-4o,1,126,0,93,57%
gemma2,1,124,0,94,56%
gemma2,0,124,0,94,56%
