model,round,conf_matrix,tn,fp,fn,tp,total_classifications,total_lost_classifications,accuracy,recall,precision,f1,total_truth_class_low_priority_edits,total_truth_class_high_priority_edits,total_predicted_class_low_priority_edits,total_predicted_class_high_priority_edits,total_cts,total_new,total_obsolete,total_reusable,total_low_impacted,total_high_impacted,total_mixed_impacted,perc_saved_cts
gemini-1.5-flash,0,"[[16  2]
 [12 70]]",16,2,12,70,100,0,0.86,0.854,0.972,0.909,82,18,72,28,772,168,402,202,121,139,142,0.301
gemini-1.5-flash,1,"[[16  2]
 [13 69]]",16,2,13,69,100,0,0.85,0.841,0.972,0.902,82,18,71,29,772,168,402,202,120,139,143,0.299
gemini-1.5-flash,2,"[[16  2]
 [13 69]]",16,2,13,69,100,0,0.85,0.841,0.972,0.902,82,18,71,29,772,168,402,202,114,139,149,0.284
gemma2,0,"[[15  3]
 [21 61]]",15,3,21,61,100,0,0.76,0.744,0.953,0.836,82,18,64,36,772,168,402,202,106,139,157,0.264
gemma2,1,"[[15  3]
 [21 61]]",15,3,21,61,100,0,0.76,0.744,0.953,0.836,82,18,64,36,772,168,402,202,106,139,157,0.264
gemma2,2,"[[13  3]
 [23 59]]",13,3,23,59,98,2,0.735,0.72,0.952,0.819,82,18,62,36,602,96,366,140,92,103,171,0.251
gpt-4o-mini,0,"[[18  0]
 [16 66]]",18,0,16,66,100,0,0.84,0.805,1.0,0.892,82,18,66,34,772,168,402,202,112,139,151,0.279
gpt-4o-mini,1,"[[18  0]
 [19 63]]",18,0,19,63,100,0,0.81,0.768,1.0,0.869,82,18,63,37,772,168,402,202,111,139,152,0.276
gpt-4o-mini,2,"[[18  0]
 [19 63]]",18,0,19,63,100,0,0.81,0.768,1.0,0.869,82,18,63,37,772,168,402,202,111,139,152,0.276
gpt-4o,0,"[[18  0]
 [19 63]]",18,0,19,63,100,0,0.81,0.768,1.0,0.869,82,18,63,37,772,168,402,202,111,139,152,0.276
gpt-4o,1,"[[18  0]
 [19 63]]",18,0,19,63,100,0,0.81,0.768,1.0,0.869,82,18,63,37,772,168,402,202,109,139,154,0.271
gpt-4o,2,"[[18  0]
 [19 63]]",18,0,19,63,100,0,0.81,0.768,1.0,0.869,82,18,63,37,772,168,402,202,109,139,154,0.271
llama3.1,0,"[[12  4]
 [14 65]]",12,4,14,65,95,5,0.811,0.823,0.942,0.878,82,18,69,26,602,96,366,140,126,103,137,0.344
llama3.1,1,"[[ 9  7]
 [18 51]]",9,7,18,51,85,15,0.706,0.739,0.879,0.803,82,18,58,27,591,96,355,140,84,103,168,0.237
llama3.1,2,"[[13  3]
 [20 56]]",13,3,20,56,92,8,0.75,0.737,0.949,0.83,82,18,59,33,595,96,359,140,57,103,199,0.159
mistral,0,"[[15  3]
 [14 68]]",15,3,14,68,100,0,0.83,0.829,0.958,0.889,82,18,71,29,772,168,402,202,116,139,147,0.289
mistral,1,"[[16  2]
 [16 66]]",16,2,16,66,100,0,0.82,0.805,0.971,0.88,82,18,68,32,772,168,402,202,115,139,148,0.286
mistral,2,"[[13  5]
 [15 67]]",13,5,15,67,100,0,0.8,0.817,0.931,0.87,82,18,72,28,772,168,402,202,109,139,154,0.271
mixtral,0,"[[ 8 10]
 [ 0 82]]",8,10,0,82,100,0,0.9,1.0,0.891,0.943,82,18,92,8,772,168,402,202,158,139,105,0.393
mixtral,1,"[[ 9  9]
 [ 0 82]]",9,9,0,82,100,0,0.91,1.0,0.901,0.948,82,18,91,9,772,168,402,202,158,139,105,0.393
mixtral,2,"[[ 8 10]
 [ 0 82]]",8,10,0,82,100,0,0.9,1.0,0.891,0.943,82,18,92,8,772,168,402,202,158,139,105,0.393
openchat,0,"[[ 7  9]
 [ 3 78]]",7,9,3,78,97,3,0.876,0.963,0.897,0.929,82,18,87,10,602,96,366,140,147,103,116,0.402
openchat,1,"[[ 2 15]
 [ 3 79]]",2,15,3,79,99,1,0.818,0.963,0.84,0.898,82,18,94,5,669,96,402,171,94,139,169,0.234
openchat,2,"[[ 6 12]
 [ 2 80]]",6,12,2,80,100,0,0.86,0.976,0.87,0.92,82,18,92,8,772,168,402,202,148,139,115,0.368
phi3,0,"[[12  4]
 [31 50]]",12,4,31,50,97,3,0.639,0.617,0.926,0.741,82,18,54,41,602,96,366,140,22,103,241,0.06
phi3,1,"[[10  6]
 [31 50]]",10,6,31,50,97,3,0.619,0.617,0.893,0.73,82,18,56,40,602,96,366,140,36,103,227,0.098
phi3,2,"[[14  2]
 [30 51]]",14,2,30,51,97,3,0.67,0.63,0.962,0.761,82,18,53,43,602,96,366,140,35,103,228,0.096
qwen2,0,"[[10  7]
 [ 9 73]]",10,7,9,73,99,1,0.838,0.89,0.912,0.901,82,18,80,19,669,96,402,171,126,139,137,0.313
qwen2,1,"[[11  7]
 [11 71]]",11,7,11,71,100,0,0.82,0.866,0.91,0.888,82,18,78,22,772,168,402,202,124,139,139,0.308
qwen2,2,"[[10  6]
 [11 71]]",10,6,11,71,98,2,0.827,0.866,0.922,0.893,82,18,77,21,602,96,366,140,115,103,148,0.314
