model,round,total_low_impacted,total_high_impacted,total_mixed_impacted,perc_saved_cts
mixtral,2,158,139,105,39%
mixtral,1,158,139,105,39%
mixtral,0,158,139,105,39%
openchat,2,148,139,115,37%
qwen2,1,124,139,139,31%
gemini-1.5-flash,0,121,139,142,30%
gemini-1.5-flash,1,120,139,143,30%
mistral,0,116,139,147,29%
mistral,1,115,139,148,29%
gemini-1.5-flash,2,114,139,149,28%
gpt-4o-mini,0,112,139,151,28%
gpt-4o-mini,2,111,139,152,28%
gpt-4o-mini,1,111,139,152,28%
gpt-4o,0,111,139,152,28%
gpt-4o,2,109,139,154,27%
mistral,2,109,139,154,27%
gpt-4o,1,109,139,154,27%
gemma2,1,106,139,157,26%
gemma2,0,106,139,157,26%
