model,round,total_new,total_obsolete,total_reusable,total_cts,perc_new,perc_obsolete,perc_reusable
gemini-1.5-flash,0,168,402,202,772,22%,52%,26%
gemini-1.5-flash,1,168,402,202,772,22%,52%,26%
gemini-1.5-flash,2,168,402,202,772,22%,52%,26%
gemma2,0,168,402,202,772,22%,52%,26%
gemma2,1,168,402,202,772,22%,52%,26%
gemma2,2,96,366,140,602,16%,61%,23%
gpt-4o-mini,0,168,402,202,772,22%,52%,26%
gpt-4o-mini,1,168,402,202,772,22%,52%,26%
gpt-4o-mini,2,168,402,202,772,22%,52%,26%
gpt-4o,0,168,402,202,772,22%,52%,26%
gpt-4o,1,168,402,202,772,22%,52%,26%
gpt-4o,2,168,402,202,772,22%,52%,26%
mistral,0,168,402,202,772,22%,52%,26%
mistral,1,168,402,202,772,22%,52%,26%
mistral,2,168,402,202,772,22%,52%,26%
mixtral,0,168,402,202,772,22%,52%,26%
mixtral,1,168,402,202,772,22%,52%,26%
mixtral,2,168,402,202,772,22%,52%,26%
openchat,0,96,366,140,602,16%,61%,23%
openchat,1,96,402,171,669,14%,60%,26%
openchat,2,168,402,202,772,22%,52%,26%
qwen2,0,96,402,171,669,14%,60%,26%
qwen2,1,168,402,202,772,22%,52%,26%
qwen2,2,96,366,140,602,16%,61%,23%
