model,round,conf_matrix,tn,fp,fn,tp,total_classifications,total_lost_classifications,accuracy,recall,precision,f1,total_cts,total_new,total_obsolete,total_reusable,total_low_impacted,total_high_impacted,total_mixed_impacted,total_no_impacted,perc_saved_cts
gemini-1.5-flash,0,"[[16  2]
 [12 70]]",16,2,12,70,100,0,0.86,0.8536585365853658,0.9722222222222222,0.9090909090909091,772,168,402,202,121,307,105,202,0.3009950248756219
gemini-1.5-flash,1,"[[16  2]
 [13 69]]",16,2,13,69,100,0,0.85,0.8414634146341463,0.971830985915493,0.9019607843137255,772,168,402,202,120,307,105,202,0.29850746268656714
gemini-1.5-flash,2,"[[16  2]
 [13 69]]",16,2,13,69,100,0,0.85,0.8414634146341463,0.971830985915493,0.9019607843137255,772,168,402,202,114,307,105,202,0.2835820895522388
gemma2,0,"[[15  3]
 [21 61]]",15,3,21,61,100,0,0.76,0.7439024390243902,0.953125,0.8356164383561643,772,168,402,202,106,307,105,202,0.263681592039801
gemma2,1,"[[15  3]
 [21 61]]",15,3,21,61,100,0,0.76,0.7439024390243902,0.953125,0.8356164383561643,772,168,402,202,106,307,105,202,0.263681592039801
gemma2,2,"[[13  3]
 [23 59]]",13,3,23,59,98,2,0.7346938775510204,0.7195121951219512,0.9516129032258065,0.8194444444444444,602,96,366,140,92,199,105,140,0.25136612021857924
gpt-4o-mini,0,"[[18  0]
 [16 66]]",18,0,16,66,100,0,0.84,0.8048780487804879,1.0,0.8918918918918919,772,168,402,202,112,307,105,202,0.27860696517412936
gpt-4o-mini,1,"[[18  0]
 [19 63]]",18,0,19,63,100,0,0.81,0.7682926829268293,1.0,0.8689655172413793,772,168,402,202,111,307,105,202,0.27611940298507465
gpt-4o-mini,2,"[[18  0]
 [19 63]]",18,0,19,63,100,0,0.81,0.7682926829268293,1.0,0.8689655172413793,772,168,402,202,111,307,105,202,0.27611940298507465
gpt-4o,0,"[[18  0]
 [19 63]]",18,0,19,63,100,0,0.81,0.7682926829268293,1.0,0.8689655172413793,772,168,402,202,111,307,105,202,0.27611940298507465
gpt-4o,1,"[[18  0]
 [19 63]]",18,0,19,63,100,0,0.81,0.7682926829268293,1.0,0.8689655172413793,772,168,402,202,109,307,105,202,0.27114427860696516
gpt-4o,2,"[[18  0]
 [19 63]]",18,0,19,63,100,0,0.81,0.7682926829268293,1.0,0.8689655172413793,772,168,402,202,109,307,105,202,0.27114427860696516
llama3.1,0,"[[12  4]
 [14 65]]",12,4,14,65,95,5,0.8105263157894737,0.8227848101265823,0.9420289855072463,0.8783783783783783,602,96,366,140,126,199,105,140,0.3442622950819672
llama3.1,1,"[[ 9  7]
 [18 51]]",9,7,18,51,85,15,0.7058823529411765,0.7391304347826086,0.8793103448275862,0.8031496062992126,591,96,355,140,84,199,105,140,0.23661971830985915
llama3.1,2,"[[13  3]
 [20 56]]",13,3,20,56,92,8,0.75,0.7368421052631579,0.9491525423728814,0.8296296296296296,595,96,359,140,57,199,105,140,0.15877437325905291
mistral,0,"[[15  3]
 [14 68]]",15,3,14,68,100,0,0.83,0.8292682926829268,0.9577464788732394,0.8888888888888888,772,168,402,202,116,307,105,202,0.2885572139303483
mistral,1,"[[16  2]
 [16 66]]",16,2,16,66,100,0,0.82,0.8048780487804879,0.9705882352941176,0.8800000000000001,772,168,402,202,115,307,105,202,0.2860696517412935
