model,precision,recall,f1,accuracy
DeepSeek-V3-CoTToT,1.0,0.859,0.9243333333333333,0.89
Claude-3.5-sonnet-CoTToT,1.0,0.846,0.9170000000000001,0.88
GPT-4o-CoTToT,1.0,0.8123333333333335,0.8963333333333333,0.8533333333333334
GPT-o1-mini-CoTToT,1.0,0.782,0.878,0.83
Qwen-QWQ-CoTToT,1.0,0.7033333333333333,0.8263333333333334,0.7693333333333333
Phi4-CoTToT,0.9943333333333334,0.7266666666666666,0.8393333333333333,0.7833333333333333
Phi4-NaiveRAG,0.9693333333333333,0.795,0.8729999999999999,0.82
Claude-3.5-sonnet-NaiveRAG,0.9653333333333333,0.8329999999999999,0.8946666666666667,0.8466666666666667
Mistral-NaiveRAG,0.96,0.5213333333333333,0.6749999999999999,0.61
Gemma-2-CoTToT,0.956,0.8329999999999999,0.89,0.84
GPT-o1-mini-NaiveRAG,0.955,0.8166666666666668,0.8803333333333333,0.8266666666666667
GPT-4o-NaiveRAG,0.948,0.8546666666666667,0.8986666666666667,0.85
Llama-3.3-CoTToT,0.9453333333333332,0.823,0.88,0.8253333333333334
Llama-3.3-NaiveRAG,0.9363333333333334,0.8166666666666668,0.8723333333333333,0.8133333333333334
Mistral-CoTToT,0.926,0.8080000000000002,0.863,0.8000000000000002
Gemma-2-NaiveRAG,0.9236666666666666,0.8806666666666666,0.9016666666666667,0.85
Cosine-DF,0.922,0.91,0.916,0.87
DeepSeek-V3-NaiveRAG,0.9156666666666666,0.8763333333333333,0.8953333333333333,0.84
Jaccard-DF,0.914,0.949,0.931,0.89
Levenshtein-DF,0.907,1.0,0.951,0.92
Qwen-QWQ-NaiveRAG,0.907,0.785,0.8413333333333334,0.771
Gemini-2.0-flash-NaiveRAG,0.9066666666666667,0.8793333333333333,0.8930000000000001,0.836
NGram-DF,0.8969999999999999,1.0,0.945,0.91
SorensenDice-DF,0.8969999999999999,1.0,0.945,0.91
Openchat-3.5-CoTToT,0.8969999999999999,0.9316666666666666,0.914,0.8633333333333333
Zephyr-Beta-CoTToT,0.8850000000000001,0.701,0.783,0.697
Mixtral-CoTToT,0.8553333333333333,0.91,0.8823333333333334,0.81
Openchat-3.5-NaiveRAG,0.834,0.923,0.8763333333333333,0.7966666666666667
Mixtral-NaiveRAG,0.8313333333333333,0.9056666666666667,0.867,0.7833333333333333
Zephyr-Beta-NaiveRAG,0.8193333333333332,0.93,0.8713333333333333,0.7866666666666667
Gemini-2.0-flash-CoTToT,0.755,0.6503333333333333,0.6986666666666667,0.5833333333333334
