model,average_recall
Levenshtein-DF,1.0
SorensenDice-DF,1.0
NGram-DF,1.0
Jaccard-DF,0.95
Openchat-3.5-CoTToT,0.93
Zephyr-Beta-NaiveRAG,0.93
Openchat-3.5-NaiveRAG,0.92
Mixtral-CoTToT,0.91
Cosine-DF,0.91
Mixtral-NaiveRAG,0.91
Gemma-2-NaiveRAG,0.88
Gemini-2.0-flash-NaiveRAG,0.88
DeepSeek-V3-NaiveRAG,0.88
DeepSeek-V3-CoTToT,0.86
GPT-4o-NaiveRAG,0.85
Claude-3.5-sonnet-CoTToT,0.85
Gemma-2-CoTToT,0.83
Claude-3.5-sonnet-NaiveRAG,0.83
Llama-3.3-CoTToT,0.82
Llama-3.3-NaiveRAG,0.82
GPT-o1-mini-NaiveRAG,0.82
GPT-4o-CoTToT,0.81
Mistral-CoTToT,0.81
Phi4-NaiveRAG,0.8
Qwen-QWQ-NaiveRAG,0.79
GPT-o1-mini-CoTToT,0.78
Phi4-CoTToT,0.73
Qwen-QWQ-CoTToT,0.7
Zephyr-Beta-CoTToT,0.7
Gemini-2.0-flash-CoTToT,0.65
Mistral-NaiveRAG,0.52
