model,round,total_low_impacted,total_high_impacted,total_mixed_impacted,perc_saved_cts
Levenshtein-DF,2,188,0,26,88%
NGram-DF,2,188,0,26,88%
SorensenDice-DF,2,188,0,26,88%
Levenshtein-DF,1,188,0,26,88%
NGram-DF,1,188,0,26,88%
SorensenDice-DF,1,188,0,26,88%
Levenshtein-DF,0,188,0,26,88%
NGram-DF,0,188,0,26,88%
SorensenDice-DF,0,188,0,26,88%
Jaccard-DF,2,180,0,34,84%
Jaccard-DF,1,180,0,34,84%
Jaccard-DF,0,180,0,34,84%
Gemini-2.0-flash-NaiveRAG,1,179,0,35,84%
Cosine-DF,2,178,0,36,83%
Mixtral-CoTToT,2,178,0,36,83%
Cosine-DF,1,178,0,36,83%
Mixtral-CoTToT,1,178,0,36,83%
Mixtral-NaiveRAG,1,178,0,36,83%
Cosine-DF,0,178,0,36,83%
Mixtral-CoTToT,0,178,0,36,83%
Mixtral-NaiveRAG,0,178,0,36,83%
Mixtral-NaiveRAG,2,177,0,37,83%
Zephyr-Beta-NaiveRAG,0,177,0,37,83%
Gemma-2-NaiveRAG,1,176,0,38,82%
Gemma-2-NaiveRAG,0,176,0,38,82%
DeepSeek-V3-NaiveRAG,2,175,0,39,82%
Gemini-2.0-flash-NaiveRAG,2,175,0,39,82%
Gemma-2-NaiveRAG,2,175,0,39,82%
DeepSeek-V3-NaiveRAG,1,175,0,39,82%
DeepSeek-V3-NaiveRAG,0,175,0,39,82%
Openchat-3.5-CoTToT,0,172,0,42,80%
Openchat-3.5-NaiveRAG,0,172,0,42,80%
DeepSeek-V3-CoTToT,2,171,0,43,80%
GPT-4o-NaiveRAG,2,171,0,43,80%
DeepSeek-V3-CoTToT,1,171,0,43,80%
GPT-4o-NaiveRAG,1,171,0,43,80%
Claude-3.5-sonnet-CoTToT,2,170,0,44,79%
Claude-3.5-sonnet-NaiveRAG,2,170,0,44,79%
GPT-o1-mini-NaiveRAG,2,170,0,44,79%
Openchat-3.5-NaiveRAG,2,170,0,44,79%
Claude-3.5-sonnet-CoTToT,1,170,0,44,79%
Claude-3.5-sonnet-NaiveRAG,1,170,0,44,79%
Openchat-3.5-NaiveRAG,1,170,0,44,79%
Claude-3.5-sonnet-CoTToT,0,170,0,44,79%
Claude-3.5-sonnet-NaiveRAG,0,170,0,44,79%
GPT-o1-mini-NaiveRAG,0,170,0,44,79%
GPT-4o-NaiveRAG,0,169,0,45,79%
GPT-o1-mini-CoTToT,2,168,0,46,78%
DeepSeek-V3-CoTToT,0,168,0,46,78%
Openchat-3.5-CoTToT,2,167,0,47,78%
GPT-o1-mini-NaiveRAG,1,167,0,47,78%
Openchat-3.5-CoTToT,1,167,0,47,78%
GPT-4o-CoTToT,2,165,0,49,77%
GPT-4o-CoTToT,0,165,0,49,77%
Zephyr-Beta-NaiveRAG,1,152,0,46,77%
GPT-4o-CoTToT,1,163,0,51,76%
GPT-o1-mini-CoTToT,0,163,0,51,76%
Zephyr-Beta-NaiveRAG,2,162,0,50,76%
Llama-3.3-NaiveRAG,1,162,0,52,76%
Phi4-NaiveRAG,1,162,0,52,76%
Phi4-NaiveRAG,0,162,0,52,76%
Qwen-QWQ-NaiveRAG,0,162,0,52,76%
GPT-o1-mini-CoTToT,1,160,0,54,75%
Qwen-QWQ-NaiveRAG,1,158,0,56,74%
Llama-3.3-CoTToT,0,158,0,56,74%
Gemma-2-CoTToT,2,154,0,60,72%
Phi4-NaiveRAG,2,154,0,60,72%
Gemma-2-CoTToT,1,154,0,60,72%
Gemma-2-CoTToT,0,154,0,60,72%
Phi4-CoTToT,1,152,0,62,71%
Phi4-CoTToT,0,151,0,63,71%
Gemini-2.0-flash-NaiveRAG,0,150,0,62,71%
Qwen-QWQ-CoTToT,1,146,0,59,71%
Llama-3.3-NaiveRAG,2,150,0,64,70%
Phi4-CoTToT,2,150,0,64,70%
Llama-3.3-NaiveRAG,0,150,0,64,70%
Qwen-QWQ-CoTToT,2,147,0,64,70%
Qwen-QWQ-CoTToT,0,147,0,64,70%
Qwen-QWQ-NaiveRAG,2,146,0,68,68%
Llama-3.3-CoTToT,2,141,0,71,66%
Llama-3.3-CoTToT,1,141,0,71,66%
Mistral-CoTToT,2,138,0,76,64%
Mistral-CoTToT,1,138,0,76,64%
Mistral-CoTToT,0,138,0,76,64%
Gemini-2.0-flash-CoTToT,1,80,0,72,53%
Zephyr-Beta-CoTToT,2,107,0,107,50%
Zephyr-Beta-CoTToT,1,107,0,107,50%
Zephyr-Beta-CoTToT,0,107,0,107,50%
Gemini-2.0-flash-CoTToT,0,78,0,107,42%
Gemini-2.0-flash-CoTToT,2,63,0,90,41%
Mistral-NaiveRAG,2,71,0,143,33%
Mistral-NaiveRAG,1,68,0,146,32%
Mistral-NaiveRAG,0,65,0,149,30%
