model,average_accuracy
DeepSeek-V3-CoTToT,0.89
Claude-3.5-sonnet-CoTToT,0.88
Openchat-3.5-CoTToT,0.86
GPT-4o-CoTToT,0.85
Gemma-2-NaiveRAG,0.85
GPT-4o-NaiveRAG,0.85
Claude-3.5-sonnet-NaiveRAG,0.85
Gemma-2-CoTToT,0.84
DeepSeek-V3-NaiveRAG,0.84
Gemini-2.0-flash-NaiveRAG,0.84
GPT-o1-mini-CoTToT,0.83
GPT-o1-mini-NaiveRAG,0.83
Llama-3.3-CoTToT,0.83
Phi4-NaiveRAG,0.82
Llama-3.3-NaiveRAG,0.81
Mixtral-CoTToT,0.81
Mistral-CoTToT,0.8
Openchat-3.5-NaiveRAG,0.8
Zephyr-Beta-NaiveRAG,0.79
Phi4-CoTToT,0.78
Mixtral-NaiveRAG,0.78
Qwen-QWQ-NaiveRAG,0.77
Qwen-QWQ-CoTToT,0.77
Zephyr-Beta-CoTToT,0.7
Mistral-NaiveRAG,0.61
Gemini-2.0-flash-CoTToT,0.58
