model,avg_classifications,avg_lost_classifications,avg_perc
Claude-3.5-sonnet-CoTToT,100,0,0.0
Claude-3.5-sonnet-NaiveRAG,100,0,0.0
DeepSeek-V3-CoTToT,100,0,0.0
DeepSeek-V3-NaiveRAG,100,0,0.0
GPT-4o-CoTToT,100,0,0.0
GPT-4o-NaiveRAG,100,0,0.0
GPT-o1-mini-CoTToT,100,0,0.0
GPT-o1-mini-NaiveRAG,100,0,0.0
Gemini-2.0-flash-NaiveRAG,100,0,0.0
Gemma-2-CoTToT,100,0,0.0
Gemma-2-NaiveRAG,100,0,0.0
Llama-3.3-NaiveRAG,100,0,0.0
Mistral-NaiveRAG,100,0,0.0
Mistral-CoTToT,100,0,0.0
Mixtral-NaiveRAG,100,0,0.0
Mixtral-CoTToT,100,0,0.0
Phi4-CoTToT,100,0,0.0
Phi4-NaiveRAG,100,0,0.0
Openchat-3.5-CoTToT,100,0,0.0
Openchat-3.5-NaiveRAG,100,0,0.0
Zephyr-Beta-CoTToT,99,1,1.0
Llama-3.3-CoTToT,99,1,1.0
Zephyr-Beta-NaiveRAG,98,2,2.0
Qwen-QWQ-NaiveRAG,96,4,4.0
Qwen-QWQ-CoTToT,85,15,15.0
Gemini-2.0-flash-CoTToT,70,30,30.0
