model,total_low_impacted,total_high_impacted,total_mixed_impacted,perc_saved_cts,size
Mixtral-CoTToT,178,0,36,83%,3
Mixtral-NaiveRAG,177,0,37,83%,1
Mixtral-NaiveRAG,178,0,36,83%,2
DeepSeek-V3-NaiveRAG,175,0,39,82%,3
Gemma-2-NaiveRAG,175,0,39,82%,1
Gemma-2-NaiveRAG,176,0,38,82%,2
GPT-4o-NaiveRAG,171,0,43,80%,2
DeepSeek-V3-CoTToT,171,0,43,80%,2
Claude-3.5-sonnet-CoTToT,170,0,44,79%,3
Claude-3.5-sonnet-NaiveRAG,170,0,44,79%,3
GPT-o1-mini-NaiveRAG,170,0,44,79%,2
GPT-4o-NaiveRAG,169,0,45,79%,1
GPT-o1-mini-NaiveRAG,167,0,47,78%,1
GPT-o1-mini-CoTToT,168,0,46,78%,1
DeepSeek-V3-CoTToT,168,0,46,78%,1
GPT-4o-CoTToT,165,0,49,77%,2
GPT-4o-CoTToT,163,0,51,76%,1
Llama-3.3-NaiveRAG,162,0,52,76%,1
GPT-o1-mini-CoTToT,163,0,51,76%,1
GPT-o1-mini-CoTToT,160,0,54,75%,1
Llama-3.3-CoTToT,158,0,56,74%,1
Gemma-2-CoTToT,154,0,60,72%,3
Llama-3.3-NaiveRAG,150,0,64,70%,2
Llama-3.3-CoTToT,141,0,71,66%,2
