model,round,total_new,total_obsolete,total_reusable,total_cts,perc_new,perc_obsolete,perc_reusable
Claude-3.5-sonnet-CoTToT,0,77,214,23,314,25%,68%,7%
Claude-3.5-sonnet-CoTToT,1,77,214,23,314,25%,68%,7%
Claude-3.5-sonnet-CoTToT,2,77,214,23,314,25%,68%,7%
Claude-3.5-sonnet-NaiveRAG,0,77,214,23,314,25%,68%,7%
Claude-3.5-sonnet-NaiveRAG,1,77,214,23,314,25%,68%,7%
Claude-3.5-sonnet-NaiveRAG,2,77,214,23,314,25%,68%,7%
DeepSeek-V3-CoTToT,0,77,214,23,314,25%,68%,7%
DeepSeek-V3-CoTToT,1,77,214,23,314,25%,68%,7%
DeepSeek-V3-CoTToT,2,77,214,23,314,25%,68%,7%
DeepSeek-V3-NaiveRAG,0,77,214,23,314,25%,68%,7%
DeepSeek-V3-NaiveRAG,1,77,214,23,314,25%,68%,7%
DeepSeek-V3-NaiveRAG,2,77,214,23,314,25%,68%,7%
Gemini-2.0-flash-CoTToT,0,56,185,16,257,22%,72%,6%
Gemini-2.0-flash-CoTToT,1,56,152,6,214,26%,71%,3%
Gemini-2.0-flash-CoTToT,2,56,153,5,214,26%,71%,2%
Gemini-2.0-flash-NaiveRAG,0,77,212,23,312,25%,68%,7%
Gemini-2.0-flash-NaiveRAG,1,77,214,23,314,25%,68%,7%
Gemini-2.0-flash-NaiveRAG,2,77,214,23,314,25%,68%,7%
Gemma-2-CoTToT,0,77,214,23,314,25%,68%,7%
Gemma-2-CoTToT,1,77,214,23,314,25%,68%,7%
Gemma-2-CoTToT,2,77,214,23,314,25%,68%,7%
Gemma-2-NaiveRAG,0,77,214,23,314,25%,68%,7%
Gemma-2-NaiveRAG,1,77,214,23,314,25%,68%,7%
Gemma-2-NaiveRAG,2,77,214,23,314,25%,68%,7%
GPT-4o-CoTToT,0,77,214,23,314,25%,68%,7%
GPT-4o-CoTToT,1,77,214,23,314,25%,68%,7%
GPT-4o-CoTToT,2,77,214,23,314,25%,68%,7%
GPT-4o-NaiveRAG,0,77,214,23,314,25%,68%,7%
GPT-4o-NaiveRAG,1,77,214,23,314,25%,68%,7%
GPT-4o-NaiveRAG,2,77,214,23,314,25%,68%,7%
GPT-o1-mini-CoTToT,0,77,214,23,314,25%,68%,7%
GPT-o1-mini-CoTToT,1,77,214,23,314,25%,68%,7%
GPT-o1-mini-CoTToT,2,77,214,23,314,25%,68%,7%
GPT-o1-mini-NaiveRAG,0,77,214,23,314,25%,68%,7%
GPT-o1-mini-NaiveRAG,1,77,214,23,314,25%,68%,7%
GPT-o1-mini-NaiveRAG,2,77,214,23,314,25%,68%,7%
Llama-3.3-CoTToT,0,77,214,23,314,25%,68%,7%
Llama-3.3-CoTToT,1,77,212,23,312,25%,68%,7%
Llama-3.3-CoTToT,2,77,212,23,312,25%,68%,7%
Llama-3.3-NaiveRAG,0,77,214,23,314,25%,68%,7%
Llama-3.3-NaiveRAG,1,77,214,23,314,25%,68%,7%
Llama-3.3-NaiveRAG,2,77,214,23,314,25%,68%,7%
Mistral-CoTToT,0,77,214,23,314,25%,68%,7%
Mistral-CoTToT,1,77,214,23,314,25%,68%,7%
Mistral-CoTToT,2,77,214,23,314,25%,68%,7%
Mistral-NaiveRAG,0,77,214,23,314,25%,68%,7%
Mistral-NaiveRAG,1,77,214,23,314,25%,68%,7%
Mistral-NaiveRAG,2,77,214,23,314,25%,68%,7%
Mixtral-CoTToT,0,77,214,23,314,25%,68%,7%
Mixtral-CoTToT,1,77,214,23,314,25%,68%,7%
Mixtral-CoTToT,2,77,214,23,314,25%,68%,7%
Mixtral-NaiveRAG,0,77,214,23,314,25%,68%,7%
Mixtral-NaiveRAG,1,77,214,23,314,25%,68%,7%
Mixtral-NaiveRAG,2,77,214,23,314,25%,68%,7%
Openchat-3.5-CoTToT,0,77,214,23,314,25%,68%,7%
Openchat-3.5-CoTToT,1,77,214,23,314,25%,68%,7%
Openchat-3.5-CoTToT,2,77,214,23,314,25%,68%,7%
Openchat-3.5-NaiveRAG,0,77,214,23,314,25%,68%,7%
Openchat-3.5-NaiveRAG,1,77,214,23,314,25%,68%,7%
Openchat-3.5-NaiveRAG,2,77,214,23,314,25%,68%,7%
Phi4-CoTToT,0,77,214,23,314,25%,68%,7%
Phi4-CoTToT,1,77,214,23,314,25%,68%,7%
Phi4-CoTToT,2,77,214,23,314,25%,68%,7%
Phi4-NaiveRAG,0,77,214,23,314,25%,68%,7%
Phi4-NaiveRAG,1,77,214,23,314,25%,68%,7%
Phi4-NaiveRAG,2,77,214,23,314,25%,68%,7%
Qwen-QWQ-CoTToT,0,77,211,23,311,25%,68%,7%
Qwen-QWQ-CoTToT,1,77,205,29,311,25%,66%,9%
Qwen-QWQ-CoTToT,2,77,211,23,311,25%,68%,7%
Qwen-QWQ-NaiveRAG,0,77,214,23,314,25%,68%,7%
Qwen-QWQ-NaiveRAG,1,77,214,23,314,25%,68%,7%
Qwen-QWQ-NaiveRAG,2,77,214,23,314,25%,68%,7%
Zephyr-Beta-CoTToT,0,77,214,23,314,25%,68%,7%
Zephyr-Beta-CoTToT,1,77,214,23,314,25%,68%,7%
Zephyr-Beta-CoTToT,2,77,214,23,314,25%,68%,7%
Zephyr-Beta-NaiveRAG,0,77,214,23,314,25%,68%,7%
Zephyr-Beta-NaiveRAG,1,77,198,23,298,26%,66%,8%
Zephyr-Beta-NaiveRAG,2,77,212,23,312,25%,68%,7%
