model,round,conf_matrix,tn,fp,fn,tp,total_classifications,total_lost_classifications,accuracy,recall,precision,f1,total_truth_class_low_priority_edits,total_truth_class_high_priority_edits,total_predicted_class_low_priority_edits,total_predicted_class_high_priority_edits,total_cts,total_new,total_obsolete,total_reusable,total_low_impacted,total_high_impacted,total_mixed_impacted,perc_saved_cts
Cosine-DF,0,"[[16  6]
 [ 7 71]]",16,6,7,71,100,0,0.87,0.91,0.922,0.916,78,22,77,23,314,77,214,23,178,0,36,0.832
Cosine-DF,1,"[[16  6]
 [ 7 71]]",16,6,7,71,100,0,0.87,0.91,0.922,0.916,78,22,77,23,314,77,214,23,178,0,36,0.832
Cosine-DF,2,"[[16  6]
 [ 7 71]]",16,6,7,71,100,0,0.87,0.91,0.922,0.916,78,22,77,23,314,77,214,23,178,0,36,0.832
Jaccard-DF,0,"[[15  7]
 [ 4 74]]",15,7,4,74,100,0,0.89,0.949,0.914,0.931,78,22,81,19,314,77,214,23,180,0,34,0.841
Jaccard-DF,1,"[[15  7]
 [ 4 74]]",15,7,4,74,100,0,0.89,0.949,0.914,0.931,78,22,81,19,314,77,214,23,180,0,34,0.841
Jaccard-DF,2,"[[15  7]
 [ 4 74]]",15,7,4,74,100,0,0.89,0.949,0.914,0.931,78,22,81,19,314,77,214,23,180,0,34,0.841
Levenshtein-DF,0,"[[14  8]
 [ 0 78]]",14,8,0,78,100,0,0.92,1.0,0.907,0.951,78,22,86,14,314,77,214,23,188,0,26,0.879
Levenshtein-DF,1,"[[14  8]
 [ 0 78]]",14,8,0,78,100,0,0.92,1.0,0.907,0.951,78,22,86,14,314,77,214,23,188,0,26,0.879
Levenshtein-DF,2,"[[14  8]
 [ 0 78]]",14,8,0,78,100,0,0.92,1.0,0.907,0.951,78,22,86,14,314,77,214,23,188,0,26,0.879
NGram-DF,0,"[[13  9]
 [ 0 78]]",13,9,0,78,100,0,0.91,1.0,0.897,0.945,78,22,87,13,314,77,214,23,188,0,26,0.879
NGram-DF,1,"[[13  9]
 [ 0 78]]",13,9,0,78,100,0,0.91,1.0,0.897,0.945,78,22,87,13,314,77,214,23,188,0,26,0.879
NGram-DF,2,"[[13  9]
 [ 0 78]]",13,9,0,78,100,0,0.91,1.0,0.897,0.945,78,22,87,13,314,77,214,23,188,0,26,0.879
SorensenDice-DF,0,"[[13  9]
 [ 0 78]]",13,9,0,78,100,0,0.91,1.0,0.897,0.945,78,22,87,13,314,77,214,23,188,0,26,0.879
SorensenDice-DF,1,"[[13  9]
 [ 0 78]]",13,9,0,78,100,0,0.91,1.0,0.897,0.945,78,22,87,13,314,77,214,23,188,0,26,0.879
SorensenDice-DF,2,"[[13  9]
 [ 0 78]]",13,9,0,78,100,0,0.91,1.0,0.897,0.945,78,22,87,13,314,77,214,23,188,0,26,0.879
