model,round,total_new,total_obsolete,total_reusable,total_cts,perc_new,perc_obsolete,perc_reusable
Cosine-DF,0,77,214,23,314,25%,68%,7%
Cosine-DF,1,77,214,23,314,25%,68%,7%
Cosine-DF,2,77,214,23,314,25%,68%,7%
Jaccard-DF,0,77,214,23,314,25%,68%,7%
Jaccard-DF,1,77,214,23,314,25%,68%,7%
Jaccard-DF,2,77,214,23,314,25%,68%,7%
Levenshtein-DF,0,77,214,23,314,25%,68%,7%
Levenshtein-DF,1,77,214,23,314,25%,68%,7%
Levenshtein-DF,2,77,214,23,314,25%,68%,7%
NGram-DF,0,77,214,23,314,25%,68%,7%
NGram-DF,1,77,214,23,314,25%,68%,7%
NGram-DF,2,77,214,23,314,25%,68%,7%
SorensenDice-DF,0,77,214,23,314,25%,68%,7%
SorensenDice-DF,1,77,214,23,314,25%,68%,7%
SorensenDice-DF,2,77,214,23,314,25%,68%,7%
