model,average_precision
GPT-o1-mini-CoTToT,1.0
GPT-4o-CoTToT,1.0
Phi4-CoTToT,1.0
Claude-3.5-sonnet-CoTToT,0.99
DeepSeek-V3-CoTToT,0.99
Qwen-QWQ-CoTToT,0.99
Phi4-NaiveRAG,0.96
Gemma-2-CoTToT,0.95
Claude-3.5-sonnet-NaiveRAG,0.94
Llama-3.3-NaiveRAG,0.92
DeepSeek-V3-NaiveRAG,0.92
Gemma-2-NaiveRAG,0.92
Mixtral-NaiveRAG,0.92
Llama-3.3-CoTToT,0.91
Gemini-1.5-flash-NaiveRAG,0.91
GPT-4o-NaiveRAG,0.9
Mistral-CoTToT,0.89
Mixtral-CoTToT,0.88
Zephyr-Beta-CoTToT,0.88
GPT-o1-mini-NaiveRAG,0.86
Mistral-NaiveRAG,0.85
Qwen-QWQ-NaiveRAG,0.85
Openchat-3.5-CoTToT,0.81
Openchat-3.5-NaiveRAG,0.81
Gemini-1.5-flash-CoTToT,0.8
Zephyr-Beta-NaiveRAG,0.79
