model,average_recall
Mixtral-CoTToT,0.97
GPT-o1-mini-NaiveRAG,0.96
Openchat-3.5-CoTToT,0.95
Zephyr-Beta-NaiveRAG,0.94
Qwen-QWQ-NaiveRAG,0.93
Claude-3.5-sonnet-NaiveRAG,0.93
Claude-3.5-sonnet-CoTToT,0.92
DeepSeek-V3-CoTToT,0.92
Llama-3.3-CoTToT,0.92
Mixtral-NaiveRAG,0.92
Llama-3.3-NaiveRAG,0.92
DeepSeek-V3-NaiveRAG,0.9
Gemma-2-NaiveRAG,0.89
Mistral-CoTToT,0.89
Openchat-3.5-NaiveRAG,0.89
Gemini-1.5-flash-NaiveRAG,0.88
GPT-o1-mini-CoTToT,0.87
GPT-4o-NaiveRAG,0.86
Gemma-2-CoTToT,0.84
Zephyr-Beta-CoTToT,0.83
GPT-4o-CoTToT,0.83
Gemini-1.5-flash-CoTToT,0.83
Mistral-NaiveRAG,0.82
Qwen-QWQ-CoTToT,0.8
Phi4-NaiveRAG,0.76
Phi4-CoTToT,0.76
