model,avg_classifications,avg_lost_classifications,avg_perc
Claude-3.5-sonnet-CoTToT,81,0,0.0
Claude-3.5-sonnet-NaiveRAG,81,0,0.0
DeepSeek-V3-CoTToT,81,0,0.0
DeepSeek-V3-NaiveRAG,81,0,0.0
GPT-4o-CoTToT,81,0,0.0
GPT-4o-NaiveRAG,81,0,0.0
GPT-o1-mini-CoTToT,81,0,0.0
GPT-o1-mini-NaiveRAG,81,0,0.0
Gemma-2-NaiveRAG,81,0,0.0
Gemma-2-CoTToT,81,0,0.0
Llama-3.3-NaiveRAG,81,0,0.0
Llama-3.3-CoTToT,81,0,0.0
Mistral-CoTToT,81,0,0.0
Mistral-NaiveRAG,81,0,0.0
Mixtral-NaiveRAG,81,0,0.0
Mixtral-CoTToT,81,0,0.0
Phi4-CoTToT,81,0,0.0
Phi4-NaiveRAG,81,0,0.0
Openchat-3.5-CoTToT,81,0,0.0
Openchat-3.5-NaiveRAG,81,0,0.0
Qwen-QWQ-NaiveRAG,79,2,2.5
Gemini-1.5-flash-NaiveRAG,79,2,2.5
Zephyr-Beta-NaiveRAG,79,2,2.5
Qwen-QWQ-CoTToT,78,3,3.7
Zephyr-Beta-CoTToT,77,4,4.9
Gemini-1.5-flash-CoTToT,49,32,39.5
