model,round,total_low_impacted,total_high_impacted,total_mixed_impacted,perc_saved_cts
GPT-o1-mini-NaiveRAG,2,141,187,58,36%
GPT-o1-mini-NaiveRAG,1,141,187,58,36%
Claude-3.5-sonnet-CoTToT,1,140,187,59,36%
Mixtral-CoTToT,2,139,187,60,36%
Mixtral-CoTToT,1,139,187,60,36%
DeepSeek-V3-CoTToT,0,139,187,60,36%
Mixtral-CoTToT,0,139,187,60,36%
DeepSeek-V3-CoTToT,2,138,187,61,36%
Llama-3.3-CoTToT,2,138,187,61,36%
Llama-3.3-CoTToT,1,138,187,61,36%
Llama-3.3-CoTToT,0,138,187,61,36%
Claude-3.5-sonnet-CoTToT,0,135,187,64,35%
Claude-3.5-sonnet-CoTToT,2,134,187,65,35%
DeepSeek-V3-CoTToT,1,133,187,66,34%
Qwen-QWQ-NaiveRAG,0,132,187,67,34%
GPT-o1-mini-CoTToT,1,131,187,68,34%
Qwen-QWQ-NaiveRAG,2,129,187,70,33%
Openchat-3.5-CoTToT,1,129,187,70,33%
Qwen-QWQ-NaiveRAG,1,128,187,71,33%
GPT-o1-mini-NaiveRAG,0,128,187,71,33%
Openchat-3.5-CoTToT,0,128,187,71,33%
Claude-3.5-sonnet-NaiveRAG,1,127,187,72,33%
Mixtral-NaiveRAG,1,126,187,73,33%
Claude-3.5-sonnet-NaiveRAG,0,126,187,73,33%
Mixtral-NaiveRAG,0,126,187,73,33%
Openchat-3.5-NaiveRAG,0,126,187,73,33%
Llama-3.3-NaiveRAG,2,125,187,74,32%
Mixtral-NaiveRAG,2,125,187,74,32%
Llama-3.3-NaiveRAG,1,125,187,74,32%
Claude-3.5-sonnet-NaiveRAG,2,124,187,75,32%
DeepSeek-V3-NaiveRAG,2,123,187,76,32%
Gemini-1.5-flash-NaiveRAG,2,123,187,76,32%
Gemma-2-NaiveRAG,2,123,187,76,32%
GPT-4o-NaiveRAG,2,123,187,76,32%
Gemini-1.5-flash-NaiveRAG,1,123,187,76,32%
Gemma-2-NaiveRAG,1,123,187,76,32%
GPT-4o-NaiveRAG,1,123,187,76,32%
Zephyr-Beta-NaiveRAG,1,123,187,76,32%
Gemma-2-NaiveRAG,0,123,187,76,32%
Openchat-3.5-CoTToT,2,122,187,77,32%
DeepSeek-V3-NaiveRAG,0,122,187,77,32%
Mistral-CoTToT,2,121,187,78,31%
DeepSeek-V3-NaiveRAG,1,121,187,78,31%
Mistral-CoTToT,1,121,187,78,31%
Mistral-CoTToT,0,121,187,78,31%
Llama-3.3-NaiveRAG,0,120,187,79,31%
Gemma-2-CoTToT,2,119,187,80,31%
Gemma-2-CoTToT,1,119,187,80,31%
GPT-4o-CoTToT,1,119,187,80,31%
Gemma-2-CoTToT,0,119,187,80,31%
GPT-o1-mini-CoTToT,0,117,187,82,30%
GPT-o1-mini-CoTToT,2,116,187,83,30%
Qwen-QWQ-CoTToT,2,116,187,83,30%
GPT-4o-CoTToT,0,116,187,83,30%
GPT-4o-NaiveRAG,0,116,187,83,30%
Phi4-NaiveRAG,2,114,187,85,30%
Zephyr-Beta-CoTToT,2,114,187,85,30%
Zephyr-Beta-CoTToT,1,114,187,85,30%
Zephyr-Beta-CoTToT,0,114,187,85,30%
Openchat-3.5-NaiveRAG,1,113,187,86,29%
Phi4-CoTToT,1,113,187,86,29%
Phi4-NaiveRAG,1,113,187,86,29%
Gemini-1.5-flash-CoTToT,1,86,151,59,29%
GPT-4o-CoTToT,2,110,187,89,28%
Mistral-NaiveRAG,2,110,187,89,28%
Phi4-CoTToT,2,110,187,89,28%
Mistral-NaiveRAG,1,110,187,89,28%
Qwen-QWQ-CoTToT,1,110,187,89,28%
Mistral-NaiveRAG,0,110,187,89,28%
Qwen-QWQ-CoTToT,0,110,187,89,28%
Phi4-CoTToT,0,106,187,93,28%
Zephyr-Beta-NaiveRAG,0,104,187,91,27%
Gemini-1.5-flash-NaiveRAG,0,96,151,103,27%
Zephyr-Beta-NaiveRAG,2,99,187,100,26%
Openchat-3.5-NaiveRAG,2,93,187,106,24%
Phi4-NaiveRAG,0,70,187,129,18%
Gemini-1.5-flash-CoTToT,0,38,151,127,12%
Gemini-1.5-flash-CoTToT,2,36,151,109,12%
