model,total_low_impacted,total_high_impacted,total_mixed_impacted,perc_saved_cts,size
Claude-3.5-sonnet-CoTToT,140,187,59,36%,1
DeepSeek-V3-CoTToT,138,187,61,36%,1
DeepSeek-V3-CoTToT,139,187,60,36%,1
Mixtral-CoTToT,139,187,60,36%,3
Llama-3.3-CoTToT,138,187,61,36%,3
GPT-o1-mini-NaiveRAG,141,187,58,36%,2
Claude-3.5-sonnet-CoTToT,135,187,64,35%,1
Claude-3.5-sonnet-CoTToT,134,187,65,35%,1
GPT-o1-mini-CoTToT,131,187,68,34%,1
DeepSeek-V3-CoTToT,133,187,66,34%,1
Claude-3.5-sonnet-NaiveRAG,126,187,73,33%,1
Claude-3.5-sonnet-NaiveRAG,127,187,72,33%,1
Mixtral-NaiveRAG,126,187,73,33%,2
GPT-o1-mini-NaiveRAG,128,187,71,33%,1
Llama-3.3-NaiveRAG,125,187,74,32%,2
Mixtral-NaiveRAG,125,187,74,32%,1
Gemma-2-NaiveRAG,123,187,76,32%,3
DeepSeek-V3-NaiveRAG,123,187,76,32%,1
DeepSeek-V3-NaiveRAG,122,187,77,32%,1
Claude-3.5-sonnet-NaiveRAG,124,187,75,32%,1
GPT-4o-NaiveRAG,123,187,76,32%,2
DeepSeek-V3-NaiveRAG,121,187,78,31%,1
Gemma-2-CoTToT,119,187,80,31%,3
GPT-4o-CoTToT,119,187,80,31%,1
Llama-3.3-NaiveRAG,120,187,79,31%,1
GPT-4o-CoTToT,116,187,83,30%,1
GPT-4o-NaiveRAG,116,187,83,30%,1
GPT-o1-mini-CoTToT,117,187,82,30%,1
GPT-o1-mini-CoTToT,116,187,83,30%,1
GPT-4o-CoTToT,110,187,89,28%,1
