model,round,total_new,total_obsolete,total_reusable,total_cts,perc_new,perc_obsolete,perc_reusable
Claude-3.5-sonnet-CoTToT,0,125,386,224,735,17%,53%,30%
Claude-3.5-sonnet-CoTToT,1,125,386,224,735,17%,53%,30%
Claude-3.5-sonnet-CoTToT,2,125,386,224,735,17%,53%,30%
Claude-3.5-sonnet-NaiveRAG,0,125,386,224,735,17%,53%,30%
Claude-3.5-sonnet-NaiveRAG,1,125,386,224,735,17%,53%,30%
Claude-3.5-sonnet-NaiveRAG,2,125,386,224,735,17%,53%,30%
DeepSeek-V3-CoTToT,0,125,386,224,735,17%,53%,30%
DeepSeek-V3-CoTToT,1,125,386,224,735,17%,53%,30%
DeepSeek-V3-CoTToT,2,125,386,224,735,17%,53%,30%
DeepSeek-V3-NaiveRAG,0,125,386,224,735,17%,53%,30%
DeepSeek-V3-NaiveRAG,1,125,386,224,735,17%,53%,30%
DeepSeek-V3-NaiveRAG,2,125,386,224,735,17%,53%,30%
Gemini-1.5-flash-CoTToT,0,89,316,126,531,17%,60%,24%
Gemini-1.5-flash-CoTToT,1,89,296,126,511,17%,58%,25%
Gemini-1.5-flash-CoTToT,2,89,296,126,511,17%,58%,25%
Gemini-1.5-flash-NaiveRAG,0,89,350,126,565,16%,62%,22%
Gemini-1.5-flash-NaiveRAG,1,125,386,224,735,17%,53%,30%
Gemini-1.5-flash-NaiveRAG,2,89,386,157,632,14%,61%,25%
Gemma-2-CoTToT,0,125,386,224,735,17%,53%,30%
Gemma-2-CoTToT,1,125,386,224,735,17%,53%,30%
Gemma-2-CoTToT,2,125,386,224,735,17%,53%,30%
Gemma-2-NaiveRAG,0,125,386,224,735,17%,53%,30%
Gemma-2-NaiveRAG,1,125,386,224,735,17%,53%,30%
Gemma-2-NaiveRAG,2,125,386,224,735,17%,53%,30%
GPT-4o-CoTToT,0,125,386,224,735,17%,53%,30%
GPT-4o-CoTToT,1,125,386,224,735,17%,53%,30%
GPT-4o-CoTToT,2,125,386,224,735,17%,53%,30%
GPT-4o-NaiveRAG,0,125,386,224,735,17%,53%,30%
GPT-4o-NaiveRAG,1,125,386,224,735,17%,53%,30%
GPT-4o-NaiveRAG,2,125,386,224,735,17%,53%,30%
GPT-o1-mini-CoTToT,0,125,386,224,735,17%,53%,30%
GPT-o1-mini-CoTToT,1,125,386,224,735,17%,53%,30%
GPT-o1-mini-CoTToT,2,125,386,224,735,17%,53%,30%
GPT-o1-mini-NaiveRAG,0,125,386,224,735,17%,53%,30%
GPT-o1-mini-NaiveRAG,1,125,386,224,735,17%,53%,30%
GPT-o1-mini-NaiveRAG,2,125,386,224,735,17%,53%,30%
Llama-3.3-CoTToT,0,125,386,224,735,17%,53%,30%
Llama-3.3-CoTToT,1,125,386,224,735,17%,53%,30%
Llama-3.3-CoTToT,2,125,386,224,735,17%,53%,30%
Llama-3.3-NaiveRAG,0,125,386,224,735,17%,53%,30%
Llama-3.3-NaiveRAG,1,125,386,224,735,17%,53%,30%
Llama-3.3-NaiveRAG,2,125,386,224,735,17%,53%,30%
Mistral-CoTToT,0,125,386,224,735,17%,53%,30%
Mistral-CoTToT,1,125,386,224,735,17%,53%,30%
Mistral-CoTToT,2,125,386,224,735,17%,53%,30%
Mistral-NaiveRAG,0,125,386,224,735,17%,53%,30%
Mistral-NaiveRAG,1,125,386,224,735,17%,53%,30%
Mistral-NaiveRAG,2,125,386,224,735,17%,53%,30%
Mixtral-CoTToT,0,125,386,224,735,17%,53%,30%
Mixtral-CoTToT,1,125,386,224,735,17%,53%,30%
Mixtral-CoTToT,2,125,386,224,735,17%,53%,30%
Mixtral-NaiveRAG,0,125,386,224,735,17%,53%,30%
Mixtral-NaiveRAG,1,125,386,224,735,17%,53%,30%
Mixtral-NaiveRAG,2,125,386,224,735,17%,53%,30%
Openchat-3.5-CoTToT,0,125,386,224,735,17%,53%,30%
Openchat-3.5-CoTToT,1,125,386,224,735,17%,53%,30%
Openchat-3.5-CoTToT,2,125,386,224,735,17%,53%,30%
Openchat-3.5-NaiveRAG,0,125,386,224,735,17%,53%,30%
Openchat-3.5-NaiveRAG,1,125,386,224,735,17%,53%,30%
Openchat-3.5-NaiveRAG,2,125,386,224,735,17%,53%,30%
Phi4-CoTToT,0,125,386,224,735,17%,53%,30%
Phi4-CoTToT,1,125,386,224,735,17%,53%,30%
Phi4-CoTToT,2,125,386,224,735,17%,53%,30%
Phi4-NaiveRAG,0,125,386,224,735,17%,53%,30%
Phi4-NaiveRAG,1,125,386,224,735,17%,53%,30%
Phi4-NaiveRAG,2,125,386,224,735,17%,53%,30%
Qwen-QWQ-CoTToT,0,125,386,224,735,17%,53%,30%
Qwen-QWQ-CoTToT,1,125,386,224,735,17%,53%,30%
Qwen-QWQ-CoTToT,2,125,386,224,735,17%,53%,30%
Qwen-QWQ-NaiveRAG,0,125,386,224,735,17%,53%,30%
Qwen-QWQ-NaiveRAG,1,125,386,224,735,17%,53%,30%
Qwen-QWQ-NaiveRAG,2,125,386,224,735,17%,53%,30%
Zephyr-Beta-CoTToT,0,125,386,224,735,17%,53%,30%
Zephyr-Beta-CoTToT,1,125,386,224,735,17%,53%,30%
Zephyr-Beta-CoTToT,2,125,386,224,735,17%,53%,30%
Zephyr-Beta-NaiveRAG,0,125,382,223,730,17%,52%,31%
Zephyr-Beta-NaiveRAG,1,125,386,224,735,17%,53%,30%
Zephyr-Beta-NaiveRAG,2,89,386,157,632,14%,61%,25%
