model,round,conf_matrix,tn,fp,fn,tp,total_classifications,total_lost_classifications,accuracy,recall,precision,f1,total_truth_class_low_priority_edits,total_truth_class_high_priority_edits,total_predicted_class_low_priority_edits,total_predicted_class_high_priority_edits,total_cts,total_new,total_obsolete,total_reusable,total_low_impacted,total_high_impacted,total_mixed_impacted,perc_saved_cts
Cosine-DF,0,"[[12  6]
 [ 4 59]]",12,6,4,59,81,0,0.877,0.937,0.908,0.922,63,18,65,16,735,125,386,224,123,187,76,0.319
Cosine-DF,1,"[[12  6]
 [ 4 59]]",12,6,4,59,81,0,0.877,0.937,0.908,0.922,63,18,65,16,735,125,386,224,123,187,76,0.319
Cosine-DF,2,"[[12  6]
 [ 4 59]]",12,6,4,59,81,0,0.877,0.937,0.908,0.922,63,18,65,16,735,125,386,224,123,187,76,0.319
Jaccard-DF,0,"[[12  6]
 [ 1 62]]",12,6,1,62,81,0,0.914,0.984,0.912,0.947,63,18,68,13,735,125,386,224,133,187,66,0.345
Jaccard-DF,1,"[[12  6]
 [ 1 62]]",12,6,1,62,81,0,0.914,0.984,0.912,0.947,63,18,68,13,735,125,386,224,133,187,66,0.345
Jaccard-DF,2,"[[12  6]
 [ 1 62]]",12,6,1,62,81,0,0.914,0.984,0.912,0.947,63,18,68,13,735,125,386,224,133,187,66,0.345
Levenshtein-DF,0,"[[12  6]
 [ 1 62]]",12,6,1,62,81,0,0.914,0.984,0.912,0.947,63,18,68,13,735,125,386,224,133,187,66,0.345
Levenshtein-DF,1,"[[12  6]
 [ 1 62]]",12,6,1,62,81,0,0.914,0.984,0.912,0.947,63,18,68,13,735,125,386,224,133,187,66,0.345
Levenshtein-DF,2,"[[12  6]
 [ 1 62]]",12,6,1,62,81,0,0.914,0.984,0.912,0.947,63,18,68,13,735,125,386,224,133,187,66,0.345
NGram-DF,0,"[[12  6]
 [ 1 62]]",12,6,1,62,81,0,0.914,0.984,0.912,0.947,63,18,68,13,735,125,386,224,133,187,66,0.345
NGram-DF,1,"[[12  6]
 [ 1 62]]",12,6,1,62,81,0,0.914,0.984,0.912,0.947,63,18,68,13,735,125,386,224,133,187,66,0.345
NGram-DF,2,"[[12  6]
 [ 1 62]]",12,6,1,62,81,0,0.914,0.984,0.912,0.947,63,18,68,13,735,125,386,224,133,187,66,0.345
SorensenDice-DF,0,"[[12  6]
 [ 0 63]]",12,6,0,63,81,0,0.926,1.0,0.913,0.955,63,18,69,12,735,125,386,224,142,187,57,0.368
SorensenDice-DF,1,"[[12  6]
 [ 0 63]]",12,6,0,63,81,0,0.926,1.0,0.913,0.955,63,18,69,12,735,125,386,224,142,187,57,0.368
SorensenDice-DF,2,"[[12  6]
 [ 0 63]]",12,6,0,63,81,0,0.926,1.0,0.913,0.955,63,18,69,12,735,125,386,224,142,187,57,0.368
