model,round,total_low_impacted,total_high_impacted,total_mixed_impacted,perc_saved_cts
SorensenDice-DF,2,142,187,57,37%
SorensenDice-DF,1,142,187,57,37%
SorensenDice-DF,0,142,187,57,37%
Jaccard-DF,2,133,187,66,34%
Levenshtein-DF,2,133,187,66,34%
NGram-DF,2,133,187,66,34%
Jaccard-DF,1,133,187,66,34%
Levenshtein-DF,1,133,187,66,34%
NGram-DF,1,133,187,66,34%
Jaccard-DF,0,133,187,66,34%
Levenshtein-DF,0,133,187,66,34%
NGram-DF,0,133,187,66,34%
Cosine-DF,2,123,187,76,32%
Cosine-DF,1,123,187,76,32%
Cosine-DF,0,123,187,76,32%
