model,round,total_new,total_obsolete,total_reusable,total_cts,perc_new,perc_obsolete,perc_reusable
Cosine-DF,0,125,386,224,735,17%,53%,30%
Cosine-DF,1,125,386,224,735,17%,53%,30%
Cosine-DF,2,125,386,224,735,17%,53%,30%
Jaccard-DF,0,125,386,224,735,17%,53%,30%
Jaccard-DF,1,125,386,224,735,17%,53%,30%
Jaccard-DF,2,125,386,224,735,17%,53%,30%
Levenshtein-DF,0,125,386,224,735,17%,53%,30%
Levenshtein-DF,1,125,386,224,735,17%,53%,30%
Levenshtein-DF,2,125,386,224,735,17%,53%,30%
NGram-DF,0,125,386,224,735,17%,53%,30%
NGram-DF,1,125,386,224,735,17%,53%,30%
NGram-DF,2,125,386,224,735,17%,53%,30%
SorensenDice-DF,0,125,386,224,735,17%,53%,30%
SorensenDice-DF,1,125,386,224,735,17%,53%,30%
SorensenDice-DF,2,125,386,224,735,17%,53%,30%
